Venue,Title,Abstract,DOI
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,A Case Study to Distill Structural Scaffolding Guidelines for Scaffolded Software Environments,"A challenge for HCI researchers and designers involves developing software tools for learners to support them in mindfully doing and learning complex new work practices. Such ""learner-centered"" tools incorporate scaffolds-software features that address the cognitive obstacles learners face so they can engage in the work in an educationally productive manner. However, designers still lack specific scaffolding design guidelines for developing effective scaffolded tools. The HCI contribution of this paper is a set of scaffolding guidelines distilled from an empirical case study. The study evaluated Symphony, a scaffolded environment for high school students learning science inquiry. The study evaluated the ""effects with"" the Symphony scaffolds, which described how students worked with the scaffolds to do their science work. The scaffolds were evaluated using several usability and learner-centered criteria, and the resulting information was correlated with structural characteristics of the scaffolds to distill a set of structural scaffolding guidelines",https://dl.acm.org/doi/10.1145/503376.503392
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Notification for shared annotation of digital documents,"Notification and shared annotations go hand-in-hand. Notification of activity in a shared document system is known to support awareness and improve asynchronous collaboration, but few studies have examined user needs and explored design tradeoffs. We examined large-scale use of notifications in a commercial system and found it lacking. We designed and deployed enhancements to the system, then conducted a field study to gauge their effect. We found that providing more information in notification messages, supporting multiple communication channels through which notifications can be received, and allowing customization of notification messages are particularly important. Overall awareness of annotation activity on software specifications increased with our enhancements",https://dl.acm.org/doi/10.1145/503376.503393
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"""I'd be overwhelmed, but it's just one more thing to do"": availability and interruption in research management","Many CSCW projects dealing with individual availability and interruption filtering achieve only limited success. Perhaps this is because designers of such systems have limited evidence to draw upon; most data on interruption management is at least a decade old. This study uses an empirical sampling method and qualitative interviews to examine attitudes toward availability and interruption. Specifically, we analyze how corporate research managers spend their time and look at how their attitudes toward interruption relate to their various activities. Attitudes toward interruption are marked by a complex tension between wanting to avoid interruption and appreciating its usefulness. We conclude by discussing the implications of these findings for design, suggesting that the notion of socially translucent systems may be a fruitful approach",https://dl.acm.org/doi/10.1145/503376.503394
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Comparing voodoo dolls and HOMER: exploring the importance of feedback in virtual environments,"When creating techniques for manipulating objects at a distance in immersive virtual environments, researchers have primarily focused on increasing selection range, placement range, and placement accuracy. This focus has led researchers to create and formally study a series of ""arm-extension"" techniques, which dynamically scale the user's arm to allow him to manipulate distant objects. Researchers have also developed representation-based techniques, which allow users to manipulate a distant object by manipulating a copy of it in a handheld representation. However, researchers have not yet formally established the relative value of these techniques. In this paper we present a formal study comparing Voodoo Dolls, a best-practice representation-based technique, with HOMER, a best-practice arm-extension technique. We found that the Voodoo Dolls technique, which provides better feedback by allowing users to view a manipulated object both up close and at a distance, allowed users to both position and orient objects more accurately. Our results suggest that researchers should focus on improving feedback for 3D manipulation techniques",https://dl.acm.org/doi/10.1145/503376.503396
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,SmartSkin: an infrastructure for freehand manipulation on interactive surfaces,"This paper introduces a new sensor architecture for making interactive surfaces that are sensitive to human hand and finger gestures. This sensor recognizes multiple hand positions and shapes and calculates the distance between the hand and the surface by using capacitive sensing and a mesh-shaped antenna. In contrast to camera-based gesture recognition systems, all sensing elements can be integrated within the surface, and this method does not suffer from lighting and occlusion problems. This paper describes the sensor architecture, as well as two working prototype systems: a table-size system and a tablet-size system. It also describes several interaction techniques that would be difficult to perform without using this architecture",https://dl.acm.org/doi/10.1145/503376.503397
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Creating principal 3D curves with digital tape drawing,Previous systems have explored the challenges of designing an interface for automotive styling which combine the metaphor of 2D drawing using physical tape with the simultaneous creation and management of a corresponding virtual 3D model. These systems have been limited to only 2D planar curves while typically the principal characteristic curves of an automotive design are three dimensional and non-planar. We present a system which addresses this limitation. Our system allows a designer to construct these non-planar 3D curves by drawing a series of 2D curves using the 2D tape drawing technique and interaction style. These results are generally applicable to the interface design of 3D modeling applications and also to the design of arm's length interaction on large scale display systems,https://dl.acm.org/doi/10.1145/503376.503398
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Adaptive testing: effects on user performance,"This study examines the effects of interface adaptation on user performance in HCI and CMC. No studies to date have explored the psychological effects of a combination of software performance monitoring and adaptation. This combination is the focus of the present study. Two competing possible effects of adaptive interfaces are presented: 1) Social facilitation, according to which users with high task confidence should perform better, and users with low task confidence should perform less well because their performance is monitored by the interface; and 2) ""choking"", according to which users with high task confidence should perform less well, and users with low task confidence should perform better because the interface adapts to their performance. A 2 (adaptive vs. non-adaptive) x 2 (high user task confidence vs. low task confidence) x 2 (HCI vs. CMC) laboratory experiment was conducted. Results indicate that for CMC, the social facilitation explanation holds true, while results for HCI were consistent with the ""choking"" explanation. Implications for the theory and design of adaptive interfaces are discussed",https://dl.acm.org/doi/10.1145/503376.503400
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Effects of four computer-mediated communications channels on trust development,"When virtual teams need to establish trust at a distance, it is advantageous for them to use rich media to communicate. We studied the emergence of trust in a social dilemma game in four different communication situations: face-to-face, video, audio, and text chat. All three of the richer conditions were significant improvements over text chat. Video and audio conferencing groups were nearly as good as face-to-face, but both did show some evidence of what we term <i>delayed trust</i> (slower progress toward full cooperation) and <i>fragile trust</i> (vulnerability to opportunistic behavior)",https://dl.acm.org/doi/10.1145/503376.503401
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Trust without touch: jumpstarting long-distance trust with initial social activities,"Computer-mediated communication (CMC) is thought to be inadequate when one needs to establish trust. If, however, people meet before using CMC, they trust each other, trust being established through touch. Here we show that if participants do <i>not</i> meet beforehand but rather engage in various getting-acquainted activities over a network, trust is much higher than if they do nothing beforehand, nearly as good as a prior meeting. Using text-chat to get acquainted is nearly as good as meeting, and even just seeing a picture is better than nothing",https://dl.acm.org/doi/10.1145/503376.503402
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Automating CPM-GOMS,"CPM-GOMS is a modeling method that combines the task decomposition of a GOMS analysis with a model of human resource usage at the level of cognitive, perceptual, and motor operations. CPM-GOMS models have made accurate predictions about skilled user behavior in routine tasks, but developing such models is tedious and error-prone. We describe a process for automatically generating CPM-GOMS models from a hierarchical task decomposition expressed in a cognitive modeling tool called Apex. Resource scheduling in Apex automates the difficult task of interleaving the cognitive, perceptual, and motor resources underlying common task operators (e.g. mouse move-and-click). Apex's UI automatically generates PERT charts, which allow modelers to visualize a model's complex parallel behavior. Because interleaving and visualization is now automated, it is feasible to construct arbitrarily long sequences of behavior. To demonstrate the process, we present a model of automated teller interactions in Apex and discuss implications for user modeling",https://dl.acm.org/doi/10.1145/503376.503404
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Investigating human-computer optimization,"Scheduling, routing, and layout tasks are examples of hard optimization problems with broad application in industry. Past research in this area has focused on algorithmic issues. However, this approach neglects many important human-computer interaction issues that must be addressed to provide people with practical solutions to optimization problems. Automatic methods do not leverage human expertise and can only find solutions that are optimal with regard to an invariably over-simplified problem description. Furthermore, users must understand the generated solutions in order to implement, justify, or modify them. Interactive optimization helps address these issues but has not previously been studied in detail. This paper describes experiments on an interactive optimization system that explore the most appropriate way to combine the respective strengths of people and computers. Our results show that users can successfully identify promising areas of the search space as well as manage the amount of computational effort expended on different subproblems",https://dl.acm.org/doi/10.1145/503376.503405
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,An evaluation of a multiple interface design solution for bloated software,"This study examines a novel interface design for heavily-featured productivity software. The design includes two interfaces between which the user can easily toggle: (1) an interface personalized by the user containing desired features only, and (2) the default interface with all the standard features. This design was prototyped as a front-end to a commercial word processor and evaluated in a comprehensive field study. The study tested the effects of different interface designs on users' satisfaction and their perceived ability to navigate, control, and learn the software. There were two conditions: a commercial word processor with adaptive menus and our two-interface prototype with adaptable menus for the same word processor. Results showed that participants were better able to navigate through the menus and toolbars and were better able to learn with our prototype. There were also significant differences in satisfaction and control with our design",https://dl.acm.org/doi/10.1145/503376.503406
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Introducing instant messaging and chat in the workplace,"We report on our experiences of introducing an instant messaging and group chat application into geographically distributed workgroups. We describe a number of issues we encountered, including privacy concerns, individual versus group training, and focusing on teams or individuals. The perception of the tool's utility was a complex issue, depending both on users' views of the importance of informal communication, and their perceptions of the nature of cross-site communication issues. Finally, we conclude with a discussion of critical mass, which is related to the features each user actually uses. More generally, we encountered a dilemma that imposes serious challenges for user-centered design of groupware systems",https://dl.acm.org/doi/10.1145/503376.503408
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Hubbub: a sound-enhanced mobile instant messenger that supports awareness and opportunistic interactions,"There have been many attempts to support awareness and lightweight interactions using video and audio, but few have been built on widely available infrastructure. Text-based systems have become more popular, but few support awareness, opportunistic conversations, and mobility, three important elements of distributed collaboration. We built on the popularity of text-based Instant Messengers (IM) by building a mobile IM called Hubbub that tries to provide all three, notably through the use of earcons. In a 5.5-month use study, we found that Hubbub helped people feel connected to colleagues in other locations and supported opportunistic interactions. The sounds provided effective awareness cues, although some found them annoying. It was more important to support graceful transitions between multiple fixed locations than to support wireless access, although both were useful",https://dl.acm.org/doi/10.1145/503376.503409
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,When conventions collide: the tensions of instant messaging attributed,"We discuss findings from observation, interviews, and textual analysis of instant messaging use in a university research lab setting. We propose a method for characterizing the tensions that permeate instant messaging texts and that expose the collision between conventions of verbal and written communication. Given this method, we suggest a design space for exploring potential design choices in instant messaging clients. Finally, we recommend an analysis of communicative conventions as a fruitful lens through which designers might anticipate or circumvent design tensions in emergent computer-mediated communication technologies",https://dl.acm.org/doi/10.1145/503376.503410
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Women take a wider view,"Published reports suggest that males significantly outperform females in navigating virtual environments. A novel navigation technique reported in CHI 2001, when combined with a large display and wide field of view, appeared to reduce that gender bias. That work has been extended with two navigation studies in order to understand the finding under carefully controlled conditions. The first study replicated the finding that a wide field of view coupled with a large display benefits both male and female users and reduces gender bias. The second study suggested that wide fields of view on a large display were useful to females despite a more densely populated virtual world. Implications for design of virtual worlds and large displays are discussed. Specifically, women take a wider field of view to achieve similar virtual environment navigation performance to men",https://dl.acm.org/doi/10.1145/503376.503412
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Evaluating the effectiveness of spatial memory in 2D and 3D physical and virtual environments,"User interfaces can improve task performance by exploiting the powerful human capabilities for spatial cognition. This opportunity has been demonstrated by many prior experiments. It is tempting to believe that providing greater spatial flexibility-by moving from flat 2D to 3D user interfaces-will further enhance user performance. This paper describes an experiment that investigates the effectiveness of spatial memory in real-world physical models and in equivalent computer-based virtual systems. The different models vary the user's freedom to use depth and perspective in spatial arrangements of images representing web pages. Results show that the subjects' performance deteriorated in both the physical and virtual systems as their freedom to locate items in the third dimension increased. Subjective measures reinforce the performance measures, indicating that users found interfaces with higher dimensions more 'cluttered' and less efficient",https://dl.acm.org/doi/10.1145/503376.503413
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Learning where to look: location learning in graphical user interfaces,"A theoretical account is presented on how locations of interface objects are learned and how the mechanisms underlying location learning interact with the representativeness of object labels. The account is embodied in a computational cognitive model built within the ACT-R/PM cognitive architecture [1, 2] and is supported by point-of-gaze and performance data collected in empirical research. The model interacts with the same software under the same experimental task conditions as study participants and replicates both performance and the finer-grained point-of-gaze data. Drawing from the data and model, location learning is characterized as a process that occurs as a by-product of interaction such that, without specific intent to do so, users can gradually learn the locations of the interface objects to which they attend. Characteristics of the user interface shape this learning process, however, by constraining the set of possible strategies for interaction. Locations are learned more quickly when the least-effortful strategy available in the interface explicitly requires retrieval of location knowledge",https://dl.acm.org/doi/10.1145/503376.503414
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,SmartSkip: consumer level browsing and skipping of digital video content,"In this paper, we describe an interface for browsing and skipping digital video content in a consumer setting; that is, sitting and watching television from a couch using a standard remote control. We compare this interface with two other interfaces that are in common use today and found that subjective satisfaction was statistically better with the new interface. Performance metrics however, like time to task completion and number of clicks were worse.",https://dl.acm.org/doi/10.1145/503376.503416
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,How knowledge workers use the web,"We report on a diary study of how and why knowledge workers use the World Wide Web. By examining in detail a complete two-day set of Web activities from each of 24 people, we construct a framework with which to describe the different tasks knowledge workers undertake. By looking at the characteristics of each type of activity, we can see how certain activities are unsuited to particular kinds of technologies (e.g., mobile devices); how Web tools might be incrementally improved; and how we might better support knowledge workers' Web tasks in the future",https://dl.acm.org/doi/10.1145/503376.503418
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Applying patterns of cooperative interaction to work (re)design: e-government and planning,"This paper presents <i>patterns of cooperative interaction</i> derived from ethnographic studies of cooperative work as devices for generalisation, re-use and design. These patterns consist of examples of similar social and interactional phenomena found in different studies that serve as resources for defining and envisaging design concepts, and potential work process and technical solutions. We outline new pattern examples and demonstrate their use in application to a complex setting: e-government in local government planning",https://dl.acm.org/doi/10.1145/503376.503419
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Separating the swarm: categorization methods for user sessions on the web,"Understanding user behaviors on Web sites enables site owners to make sites more usable, ultimately helping users to achieve their goals more quickly. Accordingly, researchers have devised methods for categorizing user sessions in hopes of revealing user interests. These techniques build user profiles by combining users' navigation paths with other data features, such as page viewing time, hyperlink structure, and page content. Previously, we have presented complex techniques of combining many of these data features to cluster user profiles. In this paper, we introduce a user study and a systematic evaluation of these different data features and their associated weighting schemes. We present the results of our study, including accuracy measures for a number of clustering approaches, and offer recommendations for Web analysts. While further investigation over more sites is needed to definitively settle on a robust scheme, we have characterized this analytic space",https://dl.acm.org/doi/10.1145/503376.503420
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Popout prism: adding perceptual principles to overview+detail document interfaces,"We present an overview+detail document interface that draws on perceptual principles to help users work with documents. Central to our approach is the use of improved document overviews. Our approach also includes novel highlighting in the full representation of documents, as well as techniques to help users smoothly transition from the overview to the full representation of the document. We present a specific implementation of our design for Web browsing. We also present a qualitative user study that indicates that our perceptual design principles are effective and that users prefer our interface to traditional ""find"" and highlighting techniques. Our user study additionally reveals interesting tasks and strategies supported in our framework that have implications for overview+detail document interfaces in general",https://dl.acm.org/doi/10.1145/503376.503422
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"Keeping things in context: a comparative evaluation of focus plus context screens, overviews, and zooming","Users working with documents that are too large and detailed to fit on the user's screen (e.g. chip designs) have the choice between zooming or applying appropriate visualization techniques. In this paper, we present a comparison of three such techniques. The first, focus plus context screens, are wall-size low-resolution displays with an embedded high-resolution display region. This technique is compared with overview plus detail and zooming/panning. We interviewed fourteen visual surveillance and design professionals from different areas (graphic design, chip design, air traffic control, etc.) in order to create a repre sentative sample of tasks to be used in two experimental comparison studies. In the first experiment, subjects using focus plus context screens to extract information from large static documents completed the two experimental tasks on average 21% and 36% faster than when they used the other interfaces. In the second experiment, focus plus context screens allowed subjects to reduce their error rate in a driving simulation to less than one third of the error rate of the competing overview plus detail setup",https://dl.acm.org/doi/10.1145/503376.503423
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Improving focus targeting in interactive fisheye views,"Fisheye views allow people to see both a focus region and the surrounding context in the same window. However, the magnification effects of the fisheye lens can cause several problems for users. One of these is focus-targeting, where a user moves the focus to a new location. Magnification makes focus-targeting difficult because objects appear to move as the focus point approaches them. This paper examines how the distortion of a fisheye view affects focus-targeting performance, and present a technique called speed-coupled flattening (SCF) as a way to improve focus targeting in distortion-oriented views. SCF dynamically reduces the distortion level of a fisheye based on pointer velocity and acceleration. In an experiment, the technique resulted in significant reductions in both targeting time and targeting errors. By adjusting distortion based on the user's activity, we can improve usability without requiring the user to manipulate any additional view controls",https://dl.acm.org/doi/10.1145/503376.503424
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"SCANMail: a voicemail interface that makes speech browsable, readable and searchable","Increasing amounts of public, corporate, and private speech data are now available on-line. These are limited in their usefulness, however, by the lack of tools to permit their browsing and search. The goal of our research is to provide tools to overcome the inherent difficulties of speech access, by supporting visual scanning, search, and information extraction. We describe a novel principle for the design of UIs to speech data: <i>What You See Is Almost What You Hear (WYSIAWYH)</i>. In <i>WYSIAWYH</i>, automatic speech recognition (ASR) generates a transcript of the speech data. The transcript is then used as a <i>visual analogue</i> to that underlying data. A graphical user interface allows users to visually scan, read, annotate and search these transcripts. Users can also use the transcript to access and play specific regions of the underlying message. We first summarize previous studies of voicemail usage that motivated the <i>WYSIAWYH</i> principle, and describe a voicemail UI, SCANMail, that embodies <i>WYSIAWYH</i>. We report on a laboratory experiment and a two-month field trial evaluation. SCANMail outperformed a state of the art voicemail system on core voicemail tasks. This was attributable to SCANMail's support for visual scanning, search and information extraction. While the ASR transcripts contain errors, they nevertheless improve the efficiency of voicemail processing. Transcripts either provide enough information for users to extract key points or to navigate to important regions of the underlying speech, which they can then play directly",https://dl.acm.org/doi/10.1145/503376.503426
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,A comparative study of speech in the call center: natural language call routing vs. touch-tone menus,"This paper presents a field study that compares natural language call routing with standard touch-tone menus. <i>Call routing</i> is the task of getting callers to the right place in the call center, which could be the appropriate live agent or automated service. <i>Natural language</i> call routing lets callers describe the reason for their call in their own words, instead of presenting them with a list of menu options to select from using the telephone touch-tone keypad. The field study was conducted in a call center of a large telecommunication service provider. Results show that with natural language call routing, more callers respond to the main routing prompt, more callers are routed to a specific destination (instead of defaulting to a general operator who may have to transfer them), and more callers are routed to the <i>correct</i> agent. Our survey data show that callers overwhelmingly prefer natural language call routing over standard touch-tone menus. Furthermore, natural language call routing can also deliver significant cost savings to call centers",https://dl.acm.org/doi/10.1145/503376.503427
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Gestural and audio metaphors as a means of control for mobile devices,This paper discusses the use of gesture and non-speech audio as ways to improve the user interface of a mobile music player. Their key advantages mean that users could use a player without having to look at its controls when on the move. Two very different evaluations of the player took place: one based on a standard usability experiment (comparing the new player to a standard design) and the other a video analysis of the player in use. Both of these showed significant usability improvements for the gesture/audio-based interface over a standard visual/pen-based display. The similarities and differences in the results produced by the two studies are discussed,https://dl.acm.org/doi/10.1145/503376.503428
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Physical programming: designing tools for children to create physical interactive environments,"Physical interactive environments can come in many forms: museum installations, amusement parks, experimental theaters, and more. Programming these environments has historically been done by adults, and children, as the visiting participants, have been offered few pre-created choices to explore. Given these creative limitations, the goal of our research has been to develop programming tools for physical interactive environments that are appropriate for use by young children (ages 4-6). We have explored numerous design approaches over the past two years. Recently we began focusing on a ""physical programming"" approach and developed a wizard-of-oz prototype for young children. This paper presents the motivation for this research, the evolution of our programming approach, and our recent explorations with children",https://dl.acm.org/doi/10.1145/503376.503430
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,A visual language for sketching large and complex interactive designs,"Informal, sketch-based design tools closely match the work practices of user interface designers. Current tools, however, are limited in the size and complexity of interaction that can be specified. We have created an advanced sketch-based visual language that allows for easy prototyping of large, complex interactive designs. In its current embodiment in the denim web design tool, the visual language allows designers to sketch reusable components for recurring page elements, such as navigation bars, as well as conditionals to illustrate and test transitions that depend on a user's input. Designers can also specify sites that accept richer user input than simple clicking. Our informal evaluation shows that these features allow designers with little programming experience to quickly create prototypes of large, complex web sites while still working inside an informal, sketch-based environment",https://dl.acm.org/doi/10.1145/503376.503431
